VendorID	trip_distance	fare_amount	total_amount
2	0.03	2.5	3.3
2	2.26	9.5	10.3
1	0	13.2	14
1	1.4	8	8.8
1	1.7	7.5	8.3
1	3.2	12.5	19.26
2	0	12	13.3
1	2.8	11.5	14.75
2	1.58	9	11.76
1	0	20.2	21
2	2.52	10.5	11.3
2	22.65	64.5	71.85
2	3.36	14.5	21.66
2	1.53	9	9.8
2	1.68	7.5	9.96
2	6.92	25	35.69
2	1.29	7	9.36
2	1.36	7	7.8
2	1.32	6	7.82
2	1.33	5.5	8.3
2	2.2	11.5	18.81
2	1.33	7.5	9.96
2	1.57	7	7.8
1	1.6	7.5	9.95
2	1.27	7.5	8.3
2	3.74	14	17.55
2	2.22	9	16.31
2	1.29	5.5	6.3
2	0.86	6	6.8
1	1.7	9	9.8
1	1	4.5	5.3
2	1.6	7	10.14
2	2.27	9.5	15.66
1	1.8	7	9.8
1	3.9	14	17.55
1	0	13.2	14
2	12.41	60	60.8
2	1.8	8	10.3
2	1.34	6	6.8
2	1.01	6.5	7.3
2	14.11	58	58.8
2	4.06	16.5	26.07
2	0.94	6	6.8
2	3.89	14	16.8
1	4.8	17	20.55
2	0.91	6	8.16
2	1.17	6	6.8
2	2.36	11	11.8
2	5.93	17.5	21.3
2	4.73	20.5	24.05
2	3.57	15	24.11
1	0	16.2	17
1	1.4	8	10.55
2	0	11	11.8
2	5.07	19	19.8
2	1.4	7	9.75
2	1.78	8	15.01
2	2.34	10.5	11.3
2	1.73	9.5	11.3
2	2.56	12.5	15.96
2	5.6	19.5	28.81
2	1.71	9.5	10.3
2	2.41	10	16.26
2	0	5	5.3
2	3.8	17	23
2	3.07	12.5	17.05
2	2.47	11	11.8
2	8.81	41	41.8
1	0	22.2	23
2	1.29	8.5	11.62
2	1.1	7.5	10.38
2	0.99	6	9.55
2	1.1	6.5	7.3
2	7.77	24.5	36.63
2	0.81	5.5	6.3
2	2.39	11	14.16
2	8.33	27.5	31.05
2	1.1	6	9.63
2	1.14	6.5	12.06
2	0.91	8.5	14.46
2	5.08	18.5	25.05
2	1.26	7	12.66
2	5.97	20.5	21.3
2	1.21	6	6.8
2	0.72	4.5	8.05
1	0	36.2	43.55
2	2.83	13	15.46
2	1.44	8.5	11
2	1.09	8	8.8
1	4.6	16.5	19.3
1	8	30	33.55
2	3.35	13	19.86
2	3.7	13	13.8
2	1.76	9	11.76
1	1.8	7.5	9.5
1	6.7	21	34
1	1.3	7	9.35
2	0	13	26.3
2	0.01	2.5	3.3
1	2.1	11	11.8
2	0.4	4	4.8
2	15.06	80	80.8
1	5.3	19.5	25.55
2	5.8	19	21.8
2	14.25	42	42.8
2	1.97	10	13.55
2	0	2.5	3.3
2	22.31	69.5	70.3
2	2.31	11.5	14.3
2	1.67	8.5	11.62
2	1.02	6.5	8.76
2	1.33	6.5	12.06
2	1.34	6.5	10.05
2	2.39	11	17.46
1	1.8	7	7.8
2	4.4	14	19.55
2	1.67	7.5	9.96
2	1.18	7.5	8.3
2	1.96	9.5	12.88
2	1.34	7.5	9.96
2	1.16	7.5	8.3
2	0.85	5	5.8
2	1.45	7	9.36
2	1.91	8	13.86
2	16.3	52	52.8
2	1.8	9	11.76
2	1.39	8.5	11.62
1	1.6	2.5	3.3
1	1.6	2.5	3.3
1	1.6	2.5	3.3
1	17.7	52	72
2	1.39	6.5	8.76
2	2.35	9.5	15.66
2	0.91	6	6.8
2	1.41	10.5	11.3
2	4.56	17	20.55
1	1.7	7	7.8
1	0	7.2	8
1	0	10.2	11
2	6.96	28	28.3
2	0.15	4	4.8
2	2.34	9.5	12.36
1	0	15.2	16
2	1.25	6.5	12.06
1	0	18.2	19
1	0	13.2	14
2	1.81	8.5	11.16
2	1.92	10	12
2	1.08	7	7.8
2	2.26	11	14.16
2	9.54	38.5	48.6
2	1.99	10.5	16.86
2	0.83	6.5	7.3
2	2.34	9	11.76
2	3.93	14	17.8
1	3	12	18.65
2	0	2.5	3.3
2	3.09	12.5	19.26
2	2.91	12	16
2	4.02	15	15.8
2	1.83	10.5	11.3
2	1.98	8	8.8
2	0.44	4	4.8
2	4.14	18	24.55
2	10.22	32	32.8
2	2.64	15.5	18.8
2	4.73	19.5	24.05
2	1.36	6	6.8
1	3.1	20.5	25.05
2	4.08	16.5	24.06
2	1.31	7.5	8.3
2	4.09	16	19.55
2	6.1	32.5	33.3
2	0.46	4.5	5.3
2	0.98	6	9.55
2	1.6	7	7.8
2	1.93	8.5	11.3
2	1.94	10	10.8
2	14.49	43.5	47.05
2	0.38	3.5	4.3
2	1.09	6	8.16
2	0.73	6	8.16
2	1.13	7	12.66
2	1.05	5	6.96
2	3.65	14	17.55
2	7.08	22.5	28.05
2	7.85	25	30.8
1	1.5	9	11.75
1	2.2	12	12.8
2	0.43	4.5	5.3
2	1.71	8.5	9.3
2	1.67	9	9.8
2	1.22	7	7.8
2	3.63	13	20.35
2	1.96	10	10.8
2	0.47	4	4.8
2	1.28	7	7.8
2	3.2	14	20.55
2	3.71	15	18.55
2	0.82	5.5	6.3
2	2.08	9	15.06
2	1.17	8	10.56
2	0.65	4.5	8.05
2	3.17	14	14.8
2	5.65	21	26.63
2	1.03	6.5	7.3
2	3.47	17.5	18.3
2	3.43	40	51.85
1	5.4	19	24.75
2	1.18	7.5	8.3
2	0.49	5	5.8
2	1.23	7.5	8.3
2	0.53	4.5	5.3
1	3.3	14.5	19.1
1	0.7	5	7.5
1	3.8	14.5	15.3
2	3.95	17	21.36
2	2.17	8.5	14.46
2	5.86	21.5	37.51
2	2.74	11.5	12.3
2	1.34	9.5	13.79
1	37.6	0	0
2	1.58	7	7.8
1	3.9	18	25.85
2	8.03	33	33.8
1	0	13.2	14
2	15.84	50.5	57.85
2	11.07	37	40.55
2	24.59	85	85.8
2	2.35	10	13.5
2	7.83	24.5	35.06
2	8.41	27	40.7
2	5.58	23	31.86
2	1.75	8.5	11.16
2	1.43	7	9.36
2	2.99	15	22.26
2	3.18	14.5	18.05
1	0	54.2	55
2	1.45	8.5	10.3
2	25.64	75.5	76.3
2	2.65	15	15.8
2	1.58	8	8.8
2	1.32	7	9.36
2	1.67	10.5	11.3
2	2.37	11	17.46
2	1.64	10.5	13.56
2	1.16	7	9.75
2	1.62	8	8.8
2	1.01	6	8.16
2	0.94	7	7.8
1	2.7	12.5	16.05
1	0	20.2	21
2	6.36	21.5	25.05
1	0	44.2	51.55
2	4.97	107.5	108.3
2	1.98	9.5	10.3
2	0.55	4.5	5.3
1	0	16.2	17
1	0	16.2	17
1	0	10.2	11
1	0	7.2	8
2	1.01	7	9.75
2	2.57	12.5	19.26
2	1.68	9.5	13.05
2	1.81	9.5	12.88
2	9.01	26.5	43.92
2	3.86	13.5	17.05
2	2.14	10	10.8
2	1.86	10	10.8
2	1.39	7	9.36
2	3.08	12.5	13.3
2	1.58	8.5	11.62
2	2.96	16.5	17.3
2	0.86	5.5	6.3
2	1.2	7	9.36
2	1.24	7.5	8.3
2	1.95	9.5	15.66
2	2.28	11	17.46
1	2.2	10	13.5
2	7.56	27.5	37.26
2	3.14	12	15.55
2	2.43	12.5	13.3
2	3.25	14	21.06
1	0	24.2	25
2	17.34	59	59.8
2	3.08	13.5	22.17
2	6.23	21	21.8
2	1.89	8.5	9.38
2	1.38	6.5	9.3
2	2.83	13.5	19.61
2	0.82	6	6.8
1	2.5	12.5	13.3
2	3.37	14	17.55
2	1.77	9	9.8
2	9.52	32.5	35.3
2	3.23	15	18.96
2	0.93	5.5	6.3
1	0	30.2	33.45
2	1.53	8	8.8
2	1.43	8	8.8
2	3.5	15	21.55
2	0	2.5	3.3
2	0.69	4.5	5.3
2	3.28	11.5	15.05
2	1.03	5.5	6.3
2	2.61	11.5	15.05
2	0.58	7	7.8
2	8.56	25	32.35
2	1.14	7.5	8.3
2	0.64	4.5	6.36
2	2.43	10.5	14.05
2	5.1	24.5	25.3
2	1.62	7.5	11.05
2	0.43	5.5	8.19
2	1.41	7.5	8.3
2	0.03	2.5	3.3
1	1.8	8.5	12.05
2	1.27	9	9.8
2	1.07	7	7.8
1	6.8	24	29.55
2	0.75	5.5	6.3
2	1.69	8	11.55
1	1.1	9.5	10.3
1	2.5	12.5	16.05
2	1	5	6.96
2	2	10.5	13.56
1	1.1	5.5	8.3
1	5.9	21.5	30.06
2	3.14	14	14.8
2	0.04	2.5	3.3
2	0.82	6	7.82
1	2.6	12.5	13.3
1	2.8	11.5	12.3
1	2.1	9	11.75
2	2.82	11	11.8
2	23.7	76	83.35
2	1.04	20	20.8
2	0.99	7	9.36
2	21.58	75	75.8
2	0.96	9.5	10.3
1	0	10.2	11
2	0.24	3.5	4.3
2	1.06	7	7.8
2	0.93	8.5	14.46
2	3.93	18	26.94
2	1.12	5	5.8
2	0.45	4.5	5.3
2	2.46	11	11.8
2	1.08	6	6.8
2	7.52	22.5	23.3
1	5.6	20	23.55
1	2.7	14.5	15.3
2	7.48	23.5	32.46
1	5.2	21	29.55
2	3.12	15	18.55
2	0.67	4.5	6.89
2	2.66	12.5	17.65
2	0.75	5.5	6.3
2	1.73	8	10.56
2	0.98	6	6.8
2	1.95	9.5	15.66
2	1.52	8.5	12.09
2	0.61	4.5	7.3
2	6.34	22.5	23.3
2	5.16	19.5	25.05
2	4	15	15.8
1	0	15.2	16
1	3.5	14	17.75
2	17.6	52	59.35
1	7.3	26	32.15
1	0	10.2	11
1	0	18.2	19
2	1.88	12	15.05
2	0.64	5	5.8
2	0.49	4	4.8
2	3.63	16	19.55
1	0.7	4.5	5.3
2	0	25	25.3
2	3.45	12.5	15.96
2	6.22	23	30.35
2	8.79	41.1	43.85
2	0.01	2.5	3.3
2	2.68	12	18.66
2	0.71	4.5	13.05
2	0.83	4.5	6.89
2	2.08	10	16.26
2	0.84	7	7.8
2	3.55	16	19.55
2	2.93	13	13.8
2	0.86	6.5	7.3
2	0	2	2.8
2	1.56	8	8.8
2	0.9	5.5	6.3
2	5.56	23	26.55
2	3.25	14	17.55
2	0.47	23	23.3
2	5.94	26.5	30
2	1.4	7	7.8
2	5.87	25	28.55
1	0	26.2	33.55
2	0.78	5.5	6.3
2	0.38	4	4.8
2	3.54	16	16.8
2	1.75	8	15.01
2	0.73	4.5	6.62
2	1.17	7	7.8
2	1.77	10.5	14.05
1	1.9	11	11.8
2	0.23	3	35
2	0.59	4.5	7.3
2	0.9	6	7.8
2	1.29	6	12.41
2	2.33	11.5	12.3
2	14.66	42	55.9
2	0.02	2.5	3.3
2	1.16	8	8.8
2	0.74	5.5	6.3
2	1.28	7	7.8
2	1.67	7.5	14.37
2	1.4	7.5	8.3
2	3.01	12.5	15.96
2	2.1	11.5	14.76
2	4.01	18	25.55
2	11.6	36	39.55
1	1	6.5	7.3
1	0	0	0
1	5	23.5	31.55
2	4.51	21.5	22.3
2	2.03	9	12.55
2	4.06	17	24.66
1	0	34.2	35
2	3.29	14.5	18.05
2	1	6	8.5
2	1.33	6.5	10.05
2	1.62	9.5	13.05
2	6.66	23.5	29.16
2	1.05	9	9.8
2	2.15	10.5	18.27
2	0	2.5	6.05
2	4.47	15.5	18.74
2	4.87	21	21.8
2	5.01	17	17.8
2	3.62	17	24.66
2	1.29	8	10.56
2	1.87	9.5	13.05
2	1.25	6	6.8
2	2.1	11	12.8
2	9.4	27	27.8
2	1.04	7	7.8
2	1.55	13.5	17.16
2	1.1	6	8.16
2	1.79	10	10.8
2	1.44	7.5	8.3
2	0.51	5.5	6.3
2	2.13	14	14.8
2	0.5	5	6.96
1	0	26.2	27
2	14.11	50	60.1
2	1.14	6	6.8
1	2	11.5	12.3
1	2.1	11.5	18.05
1	7	25	25.8
2	1.04	6.5	7.3
2	0.95	5.5	6.3
2	1.73	7	14.55
2	8.27	29.5	30.3
2	2.07	11	14.16
1	0	7.2	8
1	0	46.2	50
2	0.48	5.5	7.56
2	4.09	19	19.8
1	0	11.73	12.53
1	0	13.2	14
2	0.95	6	6.8
2	4.1	19	22.55
2	17.27	56	63.35
2	7.31	26	33.35
2	3.68	15	20.54
1	1.7	11.5	18.05
1	0.9	5.5	6.3
2	1.17	7.5	13.81
2	1.74	9	9.8
2	5.55	24.5	33.66
2	1.34	8	8.8
2	0.85	6	8.16
2	2.22	8.5	9.3
1	2.6	10	10.8
2	3.57	16.5	20.05
2	27.7	74.5	81.85
2	0	12	12.3
2	1.48	8	8.8
2	1.42	8.5	9.3
2	1.58	8	10.12
2	0.35	3.5	4.3
2	1.56	8	10.56
1	24.8	84.5	115.85
2	0.8	5	5.8
1	0	13.2	14
2	0.72	5.5	7.56
2	11.81	44	44.8
1	6.3	21	24.55
1	0.9	6	6.8
1	0	26.2	27
1	0	24.2	25
2	1.27	8.5	9.3
2	0.78	6	10.55
2	1.3	7.5	8.3
2	5.38	17	24.66
2	10.67	36	47.46
2	2.27	13.5	14.3
2	1.52	8.5	11.16
2	16.71	53.5	66.05
2	4.61	31	31.8
2	2.32	13	19.86
2	0.87	5.5	7.56
2	1.88	8.5	15.67
2	17.98	50	50.8
2	4.23	15.5	19.05
2	1.22	7	7.8
2	1.67	9	12.55
2	1.16	6.5	8.76
2	5.56	17.5	23.79
2	3.29	14	14.8
2	3.23	16	16.8
1	1.9	10.5	11.3
2	3.05	11.5	12.3
2	0.96	5.5	6.35
2	1.66	16.3	18.1
2	3.03	11	17.46
2	0.41	4	4.8
2	2.2	12.5	13.3
2	2.45	13	18.55
2	7.49	25.5	34.86
2	1.88	11	11.8
2	7.3	23.5	24.3
1	0.7	5.5	6.3
2	1.44	8	14.44
2	1.49	7.5	12.38
2	1.05	6.5	7.3
2	0.32	4	4.8
2	2.7	16.5	24.06
1	1.1	7	7.8
2	7.15	22	25.8
2	1	6.5	7.3
2	7.77	32	32.8
2	5.7	23	27
2	2.11	11.5	16.55
2	0.6	4.5	9.66
2	1.23	6.5	7.3
2	3.15	15.5	16.3
2	0.77	4.5	6
2	4.42	20	28.26
2	0.71	5	5.8
2	0.96	6	6.8
2	3.65	14.5	19.12
1	3.1	14.5	18.35
2	1.71	10.5	13.56
2	1.26	8.5	9.3
2	4.91	24.5	25.3
2	5.51	34	34.8
2	1.05	6	8.16
2	10.51	60	60.8
2	1.26	7	9.36
2	0.81	6	6.8
2	0.8	5	6.96
2	5.44	20.5	21.3
2	0.95	7.5	8.3
2	4.8	19.5	25.05
2	0.82	5.5	6.3
2	0.03	2.5	3.3
2	1.09	7.5	9.96
2	2.84	13	16.55
2	3.02	13.5	17.05
2	1.83	9.5	15
2	0.95	6.5	10.05
2	0.78	6	6.8
1	1.1	8	10.55
2	0.9	6	6.8
2	0.73	5	6.96
2	4.67	23.5	31.11
1	1.8	9.5	13.05
1	3.7	14	14.8
1	0	10.2	11
2	2.14	10	13.8
2	0.7	5	5.8
1	0	24.2	25
2	4.36	19	19.8
1	1	7.5	8.3
1	3.5	17	24.66
2	1.09	6.5	8.76
2	3.12	14	21.06
2	1.63	9	9.8
2	1.71	10	10.8
2	1.18	7.5	8.3
2	0.41	3.5	4.3
2	0.74	6.5	7.3
2	2.11	10	16.26
2	5.86	24.5	32.89
1	1.6	7.5	10.35
2	5.78	20	28.26
2	9.51	32.5	33.3
2	2.91	16	24.44
2	1.35	11.5	12.3
2	8.29	37	37.8
1	2.5	12	12.8
1	1.1	5	6.95
2	3.78	21	21.8
2	1.19	8.5	11.62
2	2.58	14.5	23.47
2	1.03	6.5	7.3
2	0	52	59.35
1	8.3	25	42.35
1	1.4	8.5	16.05
2	0.79	6	6.8
2	1.83	9	9.8
2	0.48	5	5.8
2	0.44	-4.5	-5.3
2	0.44	4.5	5.3
2	1	6	12.1
2	2.58	13	19.86
2	7.57	27	34.35
2	2.49	14	14.8
2	1.89	10	12.96
2	1.11	7	7.8
2	1.26	6.5	7.3
2	3.74	14.5	21.66
1	2.3	11	17.45
2	2.49	13	19.86
2	29.22	91	98.35
2	1.88	10.5	14.05
2	1.02	5.5	6.3
2	17.62	69.5	70.3
1	2.6	14	14.8
2	1.94	10.5	11.3
2	9.53	33.5	37.05
1	0	16.2	17
2	0.75	6.5	12.56
2	8.84	29	32.55
1	1.6	9	9.8
1	1.4	8.5	9.3
1	0	24.2	25
1	0	10.2	11
2	0.89	6	6.8
2	0.97	6.5	7.3
2	5.22	16.5	21.62
2	1.02	7.5	8.3
2	8.14	27	30.55
2	0.36	4	4.8
2	1.48	7.5	11.05
2	1.39	7	7.8
2	2.51	13	13.8
2	3.36	19	19.8
2	2.34	13.5	17.05
2	2.28	10.5	11.3
1	1	7.5	9.95
2	1.57	8.5	11.62
2	2.32	10.5	11.3
2	0.5	17.8	18.1
2	6.48	25	33.54
2	0.84	7.5	13.26
2	1.58	8.5	12.05
1	0	15.2	16
2	1.23	6.5	10.05
2	1.89	9.5	10.3
2	2.64	14	16.8
2	15.87	43.5	50.85
2	7.7	28	37.86
2	8.45	34.5	35.3
2	3.08	13	13.8
1	2.4	11	16.05
2	4.07	18.5	26.05
2	0.6	4.5	6.36
2	0.5	4	4.8
2	2.57	14	14.8
2	2.34	12.5	13.3
2	0.28	3.5	4.3
2	2.8	13	17.25
1	2.2	15	15.8
2	13.23	45.5	46.3
1	0	36.2	37
2	9.3	41.5	42.3
2	0.64	5.5	6.3
2	1.91	10.5	14.05
2	1.32	6.5	7.3
2	0.75	5	5.8
2	0.55	5	5.8
2	1.66	8.5	9.3
2	1.36	8.5	11.16
2	9.19	33	36.55
2	12.78	41.5	42.3
1	1.1	7.5	8.3
2	2.43	15.5	16.3
2	2.56	12	12.8
1	2.4	13.5	16
2	1.53	8	10.8
2	19.9	63	70.35
2	0	2.5	3.3
2	5.91	64	64.8
1	0	38.2	45.55
1	4.9	18	18.8
1	0	16.2	17
2	3.34	14.5	15.3
2	2.19	11.5	12.3
2	3.16	16	16.8
2	0.78	5.5	7.56
2	0	13	15.96
1	3.9	15.5	19.56
2	4.91	23	23.8
2	5.76	21	24.55
2	2.37	11	11.8
2	2.04	12	12.8
2	1.16	8.5	12.05
2	2.4	10.5	11.3
2	3.84	16.5	20.05
2	2.6	11.5	14.76
2	25	88.5	95.85
1	4.3	22	25.55
2	2.3	11	14.16
2	0.9	6	6.8
1	4.2	19	24.75
2	3.93	23.5	33.81
1	1.3	8	8.8
1	0.6	4.5	7.3
2	0.38	5	5.8
2	2.33	11.5	12.3
1	2.9	12	15.35
2	0.98	7	9.36
2	0.77	6	8.8
2	1.47	8	11
2	11.99	45	45.8
2	1.55	9.5	12.36
1	0.8	6.5	12.05
1	0.8	2.5	3.3
1	0.8	2.5	3.3
1	0.8	2.5	3.3
1	0.8	2.5	3.3
1	0.8	2.5	3.3
1	16.6	52	69.35
2	0.14	10	12.36
2	0	8	8.3
2	0.16	12	12.3
2	0.91	6	7.82
2	1.59	9	9.8
2	2.34	11.5	15.38
2	0.82	5.5	6.3
2	0	2.1	2.9
2	17.51	72.5	79.85
2	0.69	5	5.8
2	1.09	8.5	9.3
2	4	18	18.8
2	0.08	2.5	3.3
2	2.08	9.5	11.3
2	17.18	52	71.22
2	13.74	49.5	50.3
2	6.11	22.5	33.87
1	0	30.2	31
2	0	-2.5	-3.96
2	0	2.5	3.96
2	1.68	10.5	15.45
2	0.84	5.5	6.3
2	1.88	12	12.8
2	0.86	5	7.54
2	1.22	7	9.36
2	0	2.1	2.9
1	0	16.2	17
2	2.13	9	9.8
2	2.57	14.5	17.6
2	0.7	5	7
1	1.4	8	8.8
2	1.77	8.5	11.16
2	0.79	5.5	6.3
2	0.66	6	6.8
2	2.03	8.5	9.3
2	1.13	10.5	11.3
2	0	0	0
2	0	1	1.8
2	0	1.1	1.9
2	2.78	14	14.8
2	8.98	28	36.6
2	0.63	5	5.8
1	0	22.2	23
2	3.76	15	22.26
2	1.19	7	7.8
2	2.07	11	11.8
2	1.8	9	9.8
2	1.71	10	10.8
2	4.4	17	26.71
1	1.6	9	11.75
2	2.84	12.5	13.3
2	2.01	9.5	10.3
2	0	2.5	3.3
2	5.09	18.5	31.05
2	12.99	44.5	51.85
2	6.96	27	34.35
2	1.3	9.5	10.3
2	0.22	3.5	4.3
2	2.13	8.5	11.62
2	1.13	6.5	7.3
2	1.3	8	11
2	1.37	7.5	8.3
2	1.62	11.5	12.3
2	1.72	8.5	9.3
2	1.39	11.5	12.3
1	0.7	4.5	5.3
1	1.5	8	13.55
2	0.9	6	8.8
1	2.6	12.5	13.3
1	8.1	32	36.55
2	8.51	33.5	44.46
2	0.32	3.5	4.3
2	1.75	10	12.96
2	1.18	6	7.48
2	0.77	5	5.8
2	1.63	8.5	14.46
2	8.6	29.5	42.97
2	1.94	9	11.76
2	0.98	6.5	8.76
2	0	2.5	3.3
2	2.04	11	11.8
2	6.15	33.5	34.3
2	1.35	7.5	12.15
2	1.7	9.5	10.3
2	8.64	41	48.35
2	0.01	2.5	3.3
2	0.93	5	5.8
2	6.78	22.5	26.05
2	2.04	11	14.55
2	2.43	12	15.55
2	1.86	10.5	13.56
2	1.31	8	8.8
2	3.68	18.5	19.3
2	1.12	7	13.19
2	2.78	13	21.51
1	0	36.2	37
2	0.81	5.5	6.3
2	1.56	8.5	9.3
2	0.51	5	5.8
1	0.6	5.5	6.3
1	1.1	6.5	8.3
1	1.3	7.5	8.3
1	0.9	6	6.8
2	19.58	56.5	76.62
2	0.61	5.5	6.3
1	0	22.2	23
2	3.13	15	15.8
2	1.99	13	13.8
1	0.8	6.5	8.75
1	1	5	5.8
2	16.69	58.5	61.75
2	1.62	10	12.96
2	3.43	18.5	19.3
1	0.8	5	5.8
1	0	13.2	14
2	1.14	6.5	7.3
2	0.49	4.5	5.3
2	1.1	7.5	9.96
2	1.19	8	15.01
2	1.32	8	8.8
2	1.19	6	6.8
2	0.71	8	8.8
2	0.23	3.5	4.3
2	1.37	7	9.75
2	7.49	28	37.86
1	9.8	31	31.8
1	10.1	37.5	42.13
2	0.68	5	18.55
2	0.88	5.5	6.3
2	1	7	8.8
2	1.72	11.5	12.3
2	7.41	34	45.06
2	16.79	52	69.35
2	1.32	8	10.56
2	2.5	12.5	16.05
2	3.48	14.5	18.05
2	1.33	7	9.36
1	7.3	24	34.25
2	2.11	10	10.8
2	34.28	96.5	138.58
2	0.98	6	6.8
2	1.67	7.5	11.05
2	1.73	8	13.86
2	1.24	6	8.16
2	0	2.5	3.3
2	15.54	79	79.8
1	1.9	8	8.8
1	0.5	4	4.8
2	5.5	19	27.06
2	16.69	58	58.8
1	0	26.2	27
2	1.35	8.5	9.3
2	0	10	12.05
2	0.94	6	6.8
2	0.72	5	5.8
2	0.66	6	6.8
2	2.33	11.5	12.3
2	1.32	7.5	13.81
2	7.4	24.5	30.05
2	11.14	31.5	48.56
2	0	-3	-4.94
2	0	3	4.94
2	1.14	8	10.56
2	0.83	5	5.8
2	0.66	5	7.25
2	2	12.5	13.3
2	2.52	17.5	18.3
2	0	2.5	3.3
2	0.79	5.5	6.3
2	0.98	6.5	10.05
2	1.34	7	7.8
1	1.9	11	11.8
1	1.3	8.5	9.3
2	0.95	7	8.42
2	1.83	9	9.8
2	1.44	8	11
2	2.49	15.5	16.3
2	6.53	25	25.8
2	0.98	8	8.8
2	7.56	28.5	29.3
2	2.56	11	11.8
2	6.11	23	31.55
2	0.44	4.5	5.3
1	1.2	8	13.85
1	0.4	5	10.25
1	8.6	31	34.55
1	0.9	6	6.8
2	2.01	13	13.81
2	13.57	46.5	50.05
2	3.41	18	18.8
1	0.7	6	8.15
1	2.9	13.5	14.3
1	2	8.5	10.3
2	1.56	7	7.8
2	18.78	52	67.35
2	2.62	23	23.8
2	0.54	4.5	5.3
2	1.48	9	9.8
2	3.41	16	19.55
1	0	22.2	23
1	0	22.2	23
2	1.22	6	9.55
2	8.25	34.5	35.3
2	0.97	6.5	8.4
2	1.18	8	8.8
2	3.03	15.5	16.3
2	3.29	15.5	19.05
2	2.23	11	17.46
2	1.1	5.5	9.05
2	1.24	6.5	8.76
2	2.27	10.5	14.05
2	1.15	7	10.14
2	2.5	10.5	13.56
2	1.68	8.5	12.05
2	4.02	18	25.86
2	16.42	61	68.35
2	10.02	42	45.55
2	1.51	7.5	10.38
2	1.08	5.5	6.3
2	1.67	12	12.8
2	4.1	18.5	25.41
2	20.6	57	57.8
2	2.07	11	18.19
1	2.2	13	13.8
1	3	14.5	23.05
